,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-05-28,28.63,22.47,38.1,39.23,129.1,43.9,40.04,25.88,17.97,42.52,23.98,39.62,136.47,28.34,27.17,43.88,11.24,25.73,12.14,77.65,20.33,32.68,20.24,50.15,12.89,25.13,95.48,56.04,22.48,23.23,27.72,42.38,30.59,33.15,11.1,27.53,19.46,19.86,17.23,18.25,5.23,9.94,79.07,44.94,68.55,37.37,28.79,49.87,31.89,11.11,6.48,6.08,15.09,60.92,33.2,49.55,17.15,37.35,20.07
2009-05-29,28.77,22.98,38.07,39.7,129.81,44.79,39.81,26.05,18.36,42.8,25.17,40.46,136.4,29.21,26.79,44.05,11.49,26.23,12.56,77.99,20.72,33.01,21.22,50.64,12.51,25.49,96.93,56.77,23.14,23.79,27.87,43.55,31.36,33.17,11.07,27.86,19.36,20.26,17.34,18.69,5.41,9.9,79.7,44.39,69.08,37.32,28.89,49.75,31.57,11.19,6.34,6.12,15.84,61.03,33.42,50.28,17.14,37.08,20.04
2009-06-01,30.07,24.03,39.11,42.22,133.19,45.72,39.93,26.43,18.81,44.11,26.4,41.01,136.17,30.75,28.01,44.8,11.81,27.34,12.2,83.05,21.89,33.27,21.16,52.58,12.65,26.47,98.84,58.93,23.08,24.99,28.61,44.92,33.21,33.15,11.01,27.36,19.85,21.13,18.2,19.05,5.77,10.19,81.26,45.6,69.51,37.84,29.63,51.85,33.09,11.78,6.5,6.29,16.58,63.15,32.71,51.02,18.07,37.82,20.47
2009-06-02,30.09,22.85,38.81,43.55,133.33,47.65,39.72,26.24,18.81,44.45,26.42,41.87,135.04,31.12,28.44,44.22,11.76,28.0,12.38,84.93,21.79,32.83,21.43,53.17,13.14,26.34,97.44,59.05,22.14,25.11,29.31,45.13,33.12,33.35,11.2,25.71,20.33,21.43,17.96,18.69,6.03,10.18,80.54,45.9,69.69,38.47,29.52,52.44,32.94,11.55,6.51,6.32,16.62,64.17,31.25,51.47,18.17,37.6,20.92
2009-06-03,28.64,22.64,38.21,42.82,134.72,47.08,37.95,25.71,19.1,44.2,25.46,41.04,134.12,31.38,28.13,45.06,11.5,27.37,12.31,85.68,21.4,32.75,21.19,52.77,12.89,25.51,97.13,58.12,21.9,24.14,28.62,43.4,32.42,32.38,11.02,24.23,19.84,21.32,17.93,15.37,5.82,9.96,78.5,45.99,68.75,38.23,29.34,51.22,32.75,11.24,6.31,6.17,16.3,63.43,30.78,51.99,17.94,37.05,20.5
2009-06-04,28.86,23.35,38.38,44.76,137.39,47.56,40.27,25.78,19.19,43.91,26.92,40.43,141.02,31.59,27.82,45.05,11.72,27.71,12.1,85.52,21.44,33.03,21.48,53.08,13.15,26.43,96.98,59.42,22.78,23.99,28.38,44.29,33.62,32.59,11.67,27.03,20.23,21.49,17.95,15.24,5.99,9.64,79.2,45.59,69.79,38.0,29.53,51.67,33.17,11.7,6.54,6.53,16.65,64.22,32.02,51.77,18.23,37.52,20.87
2009-06-05,28.25,23.07,39.4,46.61,138.28,47.61,42.3,25.52,19.46,43.71,26.42,39.45,140.59,31.41,27.73,45.23,11.54,27.83,12.0,87.56,21.74,32.56,21.34,54.04,12.82,25.96,97.81,59.07,22.44,22.57,28.23,43.82,34.02,33.51,11.66,28.18,20.91,21.14,17.6,15.21,5.99,9.75,79.36,45.45,71.17,37.78,29.46,52.85,34.33,11.69,6.36,6.4,16.64,64.22,31.3,51.45,18.41,37.68,20.67
2009-06-08,28.26,23.72,39.17,46.76,137.49,46.98,43.04,25.74,19.38,44.02,26.82,39.71,139.97,31.4,28.15,45.0,11.56,27.55,11.83,86.36,21.77,32.85,21.31,53.82,13.04,25.92,98.04,59.25,23.04,21.9,28.78,43.55,34.11,33.97,11.85,27.36,21.42,21.48,17.68,15.24,6.01,9.75,79.41,45.41,70.91,38.41,29.54,52.86,34.46,11.88,6.53,6.39,16.19,64.39,32.06,50.47,18.41,37.93,20.57
2009-06-09,28.59,24.9,38.35,46.34,136.41,46.4,45.46,26.05,19.41,43.85,27.09,39.96,140.87,31.08,27.98,44.82,11.56,27.64,11.68,87.08,22.06,33.13,21.19,53.51,13.08,26.0,98.63,59.76,23.29,22.51,28.82,44.01,33.82,34.47,11.85,27.2,21.89,21.5,18.79,15.16,5.89,9.82,79.08,44.79,69.39,37.91,29.42,51.8,33.93,12.19,6.49,6.41,16.4,64.35,31.94,50.78,18.61,37.65,20.69
2009-06-10,28.72,24.68,38.88,46.3,134.05,46.29,46.37,26.0,19.82,43.78,26.87,39.24,138.39,31.17,27.87,44.33,11.42,27.36,11.62,86.59,21.56,32.67,20.89,53.62,12.98,25.71,98.82,59.79,22.61,22.37,28.5,44.02,33.27,34.18,11.77,26.37,21.75,21.53,18.74,15.19,5.83,9.58,78.6,44.51,68.5,37.52,29.34,51.62,33.89,12.52,6.52,6.36,16.32,64.98,31.56,50.16,18.49,37.3,20.86
